game,winner,timeout,adjudicated_timeout,target_value_strength,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
278,2,0,0,1.0,34,8,0,34,6036,1.270138,0.27362,1.543758,0.093813,0.768732,0.0,0.0,8,1.0,600,1
279,1,0,0,1.0,15,6,0,15,6051,1.4147,0.432243,1.846943,0.093813,0.778965,0.0,0.0,8,1.0,600,1
280,2,0,0,1.0,20,7,0,20,6071,1.276746,0.306425,1.583171,0.093813,0.782304,0.0,0.0,8,1.0,600,1
281,2,0,0,1.0,18,7,0,18,6089,1.359093,0.320765,1.679858,0.093813,0.772027,0.0,0.0,8,1.0,600,1
282,2,0,0,1.0,22,6,0,22,6111,1.251324,0.326033,1.577357,0.093813,0.722037,0.0,0.0,8,1.0,600,1
283,2,0,0,1.0,32,8,0,32,6143,1.277282,0.315421,1.592703,0.093813,0.772068,0.0,0.0,8,1.0,600,1
284,1,0,0,1.0,17,7,0,17,6160,1.215321,0.30353,1.518851,0.093813,0.750957,0.0,0.0,8,1.0,600,1
285,2,0,0,1.0,24,8,0,24,6184,1.218705,0.376838,1.595543,0.093813,0.718141,0.0,0.0,8,1.0,600,1
286,2,0,0,1.0,26,8,0,26,6210,1.25952,0.439282,1.698802,0.093813,0.759792,0.0,0.0,8,1.0,600,1
287,2,0,0,1.0,26,8,0,26,6236,1.219979,0.298548,1.518527,0.093813,0.787659,0.0,0.0,8,1.0,600,1
288,2,0,0,1.0,22,6,0,22,6258,1.289074,0.34671,1.635784,0.093813,0.805737,0.0,0.0,8,1.0,600,1
289,1,0,0,1.0,19,8,0,19,6277,1.117635,0.359877,1.477512,0.093813,0.77893,0.0,0.0,8,1.0,600,1
290,2,0,0,1.0,14,8,0,14,6291,1.509548,0.278125,1.787673,0.093813,0.772359,0.0,0.0,8,1.0,600,1
291,1,0,0,1.0,19,8,0,19,6310,1.252625,0.378306,1.630931,0.093813,0.810122,0.0,0.0,8,1.0,600,1
292,2,0,0,1.0,20,6,0,20,6330,1.243979,0.379706,1.623685,0.093813,0.764608,0.0,0.0,8,1.0,600,1
293,1,0,0,1.0,19,7,0,19,6349,1.132335,0.36052,1.492855,0.093813,0.730252,0.0,0.0,8,1.0,600,1
294,2,0,0,1.0,36,7,0,36,6385,1.223543,0.313367,1.53691,0.093813,0.806761,0.0,0.0,8,1.0,600,1
295,2,0,0,1.0,18,8,0,18,6403,1.387672,0.479778,1.86745,0.093813,0.699685,0.0,0.0,8,1.0,600,1
296,2,0,0,1.0,16,6,0,16,6419,1.251868,0.317515,1.569383,0.093813,0.744887,0.0,0.0,8,1.0,600,1
297,2,0,0,1.0,6,2,0,6,6425,1.252193,0.362101,1.614295,0.093813,0.795214,1.0,0.0,8,1.0,600,1
298,2,0,0,1.0,10,5,0,10,6435,1.466945,0.411707,1.878652,0.093813,0.702337,0.0,0.0,8,1.0,600,1
299,2,1,1,0.3,70,7,0,70,6505,1.382788,0.581205,1.963993,0.093813,0.684426,0.0,0.0,8,1.0,600,1
300,2,0,0,1.0,26,8,0,26,6531,1.235599,0.32221,1.557809,0.093813,0.804097,0.0,0.0,8,1.0,600,1
301,1,0,0,1.0,23,8,0,23,6554,1.283423,0.395612,1.679035,0.093813,0.788996,0.0,0.0,8,1.0,600,1
302,1,0,0,1.0,19,8,0,19,6573,1.267389,0.338917,1.606306,0.093813,0.704683,0.0,0.0,8,1.0,600,1
303,1,0,0,1.0,23,7,0,23,6596,1.20735,0.335831,1.543181,0.093813,0.786093,0.0,0.0,8,1.0,600,1
304,1,0,0,1.0,17,7,0,17,6613,1.238992,0.236701,1.475693,0.093813,0.597368,0.0,0.0,8,1.0,600,1
305,1,0,0,1.0,27,8,0,27,6640,1.254278,0.40045,1.654728,0.093813,0.805664,0.0,0.0,8,1.0,600,1
306,2,0,0,1.0,18,8,0,18,6658,1.35727,0.262378,1.619649,0.093813,0.698664,0.0,0.0,8,1.0,600,1
307,1,0,0,1.0,13,5,0,13,6671,1.148039,0.419095,1.567134,0.093813,0.680108,0.0,0.0,8,1.0,600,1
308,2,0,0,1.0,18,8,0,18,6689,1.291849,0.272771,1.56462,0.093813,0.755889,0.0,0.0,8,1.0,600,1
309,1,0,0,1.0,23,8,0,23,6712,1.334967,0.399982,1.734949,0.093813,0.718734,0.0,0.0,8,1.0,600,1
310,2,0,0,1.0,16,7,0,16,6728,1.362947,0.241564,1.604511,0.093813,0.748957,0.0,0.0,8,1.0,600,1
311,2,0,0,1.0,16,5,0,16,6744,1.286584,0.371093,1.657677,0.093813,0.666841,0.0,0.0,8,1.0,600,1
