game,winner,timeout,adjudicated_timeout,target_value_strength,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
169,1,0,0,1.0,17,7,0,17,3424,1.25518,0.358647,1.613827,0.171304,0.67652,0.0,0.0,8,1.0,600,1
170,1,0,0,1.0,15,8,0,15,3439,1.541746,0.470124,2.01187,0.171304,0.719421,0.0,0.0,8,1.0,600,1
171,1,0,0,1.0,15,5,0,15,3454,1.489825,0.307316,1.797141,0.171304,0.715415,0.0,0.0,8,1.0,600,1
172,1,0,0,1.0,23,8,0,23,3477,1.411491,0.434683,1.846174,0.171304,0.713073,0.0,0.0,8,1.0,600,1
173,2,0,0,1.0,24,4,0,24,3501,1.39249,0.377326,1.769816,0.171304,0.659015,0.0,0.0,8,1.0,600,1
174,2,0,0,1.0,18,6,0,18,3519,1.254829,0.409717,1.664546,0.171304,0.688184,0.0,0.0,8,1.0,600,1
175,1,0,0,1.0,23,8,0,23,3542,1.321094,0.294858,1.615952,0.171304,0.767656,0.0,0.0,8,1.0,600,1
176,1,0,0,1.0,63,8,0,63,3605,1.489833,0.372169,1.862003,0.171304,0.715081,0.0,0.0,8,1.0,600,1
177,1,0,0,1.0,11,5,0,11,3616,1.371113,0.349746,1.720858,0.171304,0.537866,0.0,0.0,8,1.0,600,1
178,1,0,0,1.0,19,8,0,19,3635,1.343397,0.500255,1.843651,0.171304,0.770495,0.0,0.0,8,1.0,600,1
179,2,0,0,1.0,22,8,0,22,3657,1.311452,0.425785,1.737238,0.171304,0.749734,0.0,0.0,8,1.0,600,1
180,2,0,0,1.0,24,6,0,24,3681,1.334743,0.377367,1.71211,0.171304,0.657972,0.0,0.0,8,1.0,600,1
181,1,0,0,1.0,17,6,0,17,3698,1.475229,0.376159,1.851388,0.171304,0.725621,0.0,0.0,8,1.0,600,1
182,2,0,0,1.0,16,8,0,16,3714,1.421293,0.28537,1.706663,0.171304,0.776085,0.0,0.0,8,1.0,600,1
183,2,0,0,1.0,26,8,0,26,3740,1.420597,0.30984,1.730437,0.171304,0.758251,0.0,0.0,8,1.0,600,1
184,1,0,0,1.0,17,6,0,17,3757,1.326519,0.417483,1.744002,0.171304,0.69999,0.0,0.0,8,1.0,600,1
185,1,0,0,1.0,17,6,0,17,3774,1.372866,0.344782,1.717648,0.171304,0.705686,0.0,0.0,8,1.0,600,1
186,2,0,0,1.0,20,7,0,20,3794,1.438165,0.47127,1.909435,0.171304,0.709265,0.0,0.0,8,1.0,600,1
187,1,0,0,1.0,9,1,0,9,3803,1.323655,0.350261,1.673916,0.171304,0.738082,0.0,0.0,8,1.0,600,1
188,2,0,0,1.0,16,8,0,16,3819,1.22222,0.315555,1.537775,0.171304,0.699082,0.0,0.0,8,1.0,600,1
189,2,0,0,1.0,18,8,0,18,3837,1.345882,0.441343,1.787225,0.171304,0.73261,0.0,0.0,8,1.0,600,1
190,2,0,0,1.0,16,6,0,16,3853,1.36437,0.367147,1.731517,0.171304,0.707638,0.0,0.0,8,1.0,600,1
191,2,0,0,1.0,46,7,0,46,3899,1.467947,0.515004,1.982951,0.171304,0.623104,0.0,0.0,8,1.0,600,1
192,1,0,0,1.0,13,5,0,13,3912,1.417644,0.506249,1.923893,0.171304,0.565558,0.0,0.0,8,1.0,600,1
193,1,0,0,1.0,17,7,0,17,3929,1.571293,0.399404,1.970696,0.171304,0.739075,0.0,0.0,8,1.0,600,1
194,2,0,0,1.0,26,8,0,26,3955,1.258077,0.512374,1.770451,0.171304,0.72056,0.0,0.0,8,1.0,600,1
195,2,0,0,1.0,32,8,0,32,3987,1.248885,0.343124,1.59201,0.171304,0.738262,0.0,0.0,8,1.0,600,1
196,1,0,0,1.0,19,7,0,19,4006,1.293938,0.349748,1.643686,0.171304,0.688164,0.0,0.0,8,1.0,600,1
197,1,0,0,1.0,17,7,0,17,4023,1.402154,0.456833,1.858986,0.171304,0.734165,0.0,0.0,8,1.0,600,1
198,1,0,0,1.0,19,7,0,19,4042,1.322495,0.374074,1.696569,0.171304,0.743081,0.0,0.0,8,1.0,600,1
199,1,0,0,1.0,17,7,0,17,4059,1.409119,0.533241,1.94236,0.171304,0.792596,0.0,0.0,8,1.0,600,1
