game,winner,timeout,adjudicated_timeout,target_value_strength,timeout_adjudication_mode,timeout_adjudication_max_value,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,action_temperature,temperature_after_drop,temperature_drop_step,target_policy_temperature,num_simulations,mcts_batch_size
61,2,0,0,1.0,fixed,0.5,34,7,0,34,1251,1.381504,0.50668,1.888185,0.118303,0.68143,0.0,0.0,8,1.0,600,1
62,1,0,0,1.0,fixed,0.5,17,6,0,17,1268,1.397024,0.410344,1.807367,0.118303,0.644015,0.0,0.0,8,1.0,600,1
63,1,0,0,1.0,fixed,0.5,15,7,0,15,1283,1.350097,0.288332,1.63843,0.118303,0.676795,0.0,0.0,8,1.0,600,1
64,2,0,0,1.0,fixed,0.5,30,7,0,30,1313,1.295266,0.704377,1.999644,0.118303,0.705787,0.0,0.0,8,1.0,600,1
65,1,0,0,1.0,fixed,0.5,31,8,0,31,1344,1.434822,0.463922,1.898744,0.118303,0.760299,0.0,0.0,8,1.0,600,1
66,2,0,0,1.0,fixed,0.5,24,8,0,24,1368,1.444952,0.409978,1.85493,0.118303,0.621383,0.0,0.0,8,1.0,600,1
67,2,0,0,1.0,fixed,0.5,18,7,0,18,1386,1.458436,0.561036,2.019472,0.118303,0.695882,0.0,0.0,8,1.0,600,1
68,1,0,0,1.0,fixed,0.5,19,8,0,19,1405,1.31242,0.526478,1.838897,0.118303,0.604341,0.0,0.0,8,1.0,600,1
69,2,0,0,1.0,fixed,0.5,16,6,0,16,1421,1.391617,0.491898,1.883514,0.118303,0.616027,0.0,0.0,8,1.0,600,1
70,1,0,0,1.0,fixed,0.5,19,7,0,19,1440,1.280756,0.471665,1.752421,0.118303,0.690185,0.0,0.0,8,1.0,600,1
71,2,0,0,1.0,fixed,0.5,18,7,0,18,1458,1.233828,0.382587,1.616415,0.118303,0.736691,0.0,0.0,8,1.0,600,1
72,1,0,0,1.0,fixed,0.5,15,7,0,15,1473,1.323898,0.431305,1.755203,0.118303,0.631274,0.0,0.0,8,1.0,600,1
73,1,0,0,1.0,fixed,0.5,25,7,0,25,1498,1.324048,0.385005,1.709054,0.118303,0.675593,0.0,0.0,8,1.0,600,1
74,2,0,0,1.0,fixed,0.5,22,7,0,22,1520,1.392909,0.375036,1.767945,0.118303,0.71073,0.0,0.0,8,1.0,600,1
75,1,0,0,1.0,fixed,0.5,17,6,0,17,1537,1.306634,0.341375,1.648009,0.118303,0.56447,0.0,0.0,8,1.0,600,1
76,2,0,0,1.0,fixed,0.5,18,8,0,18,1555,1.43179,0.47246,1.90425,0.118303,0.654146,0.0,0.0,8,1.0,600,1
77,1,0,0,1.0,fixed,0.5,17,7,0,17,1572,1.279948,0.427832,1.70778,0.118303,0.669154,0.0,0.0,8,1.0,600,1
78,1,0,0,1.0,fixed,0.5,15,6,0,15,1587,1.445594,0.311654,1.757248,0.118303,0.664107,0.0,0.0,8,1.0,600,1
79,2,0,0,1.0,fixed,0.5,16,6,0,16,1603,1.374649,0.322236,1.696885,0.118303,0.673518,0.0,0.0,8,1.0,600,1
80,1,0,0,1.0,fixed,0.5,19,7,0,19,1622,1.299663,0.30894,1.608603,0.118303,0.610403,0.0,0.0,8,1.0,600,1
