game,winner,timeout,adjudicated_timeout,target_value_strength,steps,walls,invalid_moves,examples_generated,replay_size,policy_loss,value_loss,total_loss,best_value_loss,avg_root_max_visit_ratio,num_simulations,mcts_batch_size
1060,2,0,0,1.0,22,7,0,22,27095,1.638675,0.35259,1.991265,0.153257,0.715167,200,1
1061,1,0,0,1.0,15,7,0,15,27110,1.62705,0.374507,2.001557,0.153257,0.640871,200,1
1062,2,0,0,1.0,14,8,0,14,27124,1.652117,0.368524,2.020641,0.153257,0.578248,200,1
1063,2,0,0,1.0,12,6,0,12,27136,1.607603,0.445058,2.052661,0.153257,0.563233,200,1
1064,2,0,0,1.0,32,8,0,32,27168,1.681875,0.374885,2.05676,0.153257,0.819567,200,1
1065,1,0,0,1.0,47,8,0,47,27215,1.705178,0.394675,2.099853,0.153257,0.702555,200,1
1066,2,0,0,1.0,16,6,0,16,27231,1.625825,0.336615,1.96244,0.153257,0.637249,200,1
1067,2,0,0,1.0,22,7,0,22,27253,1.467284,0.298304,1.765588,0.153257,0.740292,200,1
1068,1,0,0,1.0,23,8,0,23,27276,1.495203,0.380248,1.875451,0.153257,0.664627,200,1
1069,2,0,0,1.0,18,7,0,18,27294,1.431476,0.391488,1.822964,0.153257,0.653546,200,1
1070,1,0,0,1.0,13,7,0,13,27307,1.340951,0.289815,1.630766,0.153257,0.6753,200,1
1071,1,0,0,1.0,17,8,0,17,27324,1.427136,0.40384,1.830976,0.153257,0.603606,200,1
1072,2,0,0,1.0,26,8,0,26,27350,1.488163,0.390046,1.878209,0.153257,0.612099,200,1
1073,1,0,0,1.0,31,7,0,31,27381,1.504987,0.488184,1.993171,0.153257,0.609337,200,1
1074,2,0,0,1.0,10,5,0,10,27391,1.353047,0.365809,1.718856,0.153257,0.518593,200,1
1075,2,0,0,1.0,12,6,0,12,27403,1.514817,0.378909,1.893726,0.153257,0.556533,200,1
1076,2,0,0,1.0,18,8,0,18,27421,1.505695,0.429103,1.934799,0.153257,0.679229,200,1
1077,2,0,0,1.0,26,8,0,26,27447,1.27913,0.326642,1.605772,0.153257,0.672014,200,1
1078,2,0,0,1.0,18,7,0,18,27465,1.600235,0.441261,2.041496,0.153257,0.658012,200,1
1079,2,0,0,1.0,18,7,0,18,27483,1.53299,0.30632,1.83931,0.153257,0.594361,200,1
1080,2,0,0,1.0,18,7,0,18,27501,1.690869,0.409466,2.100335,0.153257,0.72976,200,1
1081,2,0,0,1.0,26,7,0,26,27527,1.560994,0.274336,1.83533,0.153257,0.582335,200,1
1082,1,0,0,1.0,23,8,0,23,27550,1.57819,0.417156,1.995346,0.153257,0.686476,200,1
1083,2,1,1,0.1,80,8,0,80,27630,1.51918,0.377755,1.896936,0.153257,0.766583,200,1
1084,1,0,0,1.0,27,8,0,27,27657,1.35549,0.391418,1.746908,0.153257,0.627768,200,1
1085,1,0,0,1.0,23,8,0,23,27680,1.650359,0.421133,2.071491,0.153257,0.603452,200,1
1086,2,0,0,1.0,20,7,0,20,27700,1.603879,0.338737,1.942617,0.153257,0.544472,200,1
1087,1,0,0,1.0,23,8,0,23,27723,1.638564,0.352068,1.990632,0.153257,0.647804,200,1
1088,2,0,0,1.0,22,8,0,22,27745,1.717255,0.414327,2.131582,0.153257,0.620831,200,1
1089,1,0,0,1.0,35,8,0,35,27780,1.458106,0.37965,1.837756,0.153257,0.754917,200,1
1090,2,0,0,1.0,24,8,0,24,27804,1.521772,0.402071,1.923843,0.153257,0.660176,200,1
1091,2,0,0,1.0,18,8,0,18,27822,1.450823,0.290886,1.741709,0.153257,0.548297,200,1
1092,1,0,0,1.0,17,6,0,17,27839,1.662294,0.414121,2.076416,0.153257,0.592374,200,1
1093,1,0,0,1.0,27,8,0,27,27866,1.544285,0.419706,1.963991,0.153257,0.647869,200,1
1094,1,0,0,1.0,9,3,0,9,27875,1.612905,0.425538,2.038443,0.153257,0.500838,200,1
1095,1,0,0,1.0,27,8,0,27,27902,1.554347,0.377307,1.931654,0.153257,0.64973,200,1
1096,2,0,0,1.0,24,8,0,24,27926,1.55091,0.440023,1.990933,0.153257,0.691583,200,1
1097,1,0,0,1.0,17,6,0,17,27943,1.580568,0.412258,1.992826,0.153257,0.498079,200,1
1098,1,0,0,1.0,11,5,0,11,27954,1.660219,0.342287,2.002506,0.153257,0.362723,200,1
1099,1,0,0,1.0,13,7,0,13,27967,1.660209,0.415319,2.075527,0.153257,0.67298,200,1
1100,2,0,0,1.0,26,8,0,26,27993,1.572257,0.404769,1.977025,0.153257,0.656165,200,1
1101,1,0,0,1.0,15,6,0,15,28008,1.380892,0.410897,1.791788,0.153257,0.652261,200,1
1102,2,0,0,1.0,20,8,0,20,28028,1.504109,0.347449,1.851559,0.153257,0.61608,200,1
1103,2,0,0,1.0,36,8,0,36,28064,1.7327,0.46009,2.192791,0.153257,0.62493,200,1
1104,1,0,0,1.0,23,7,0,23,28087,1.667842,0.333169,2.001011,0.153257,0.59078,200,1
1105,1,0,0,1.0,23,8,0,23,28110,1.665733,0.469693,2.135427,0.153257,0.668779,200,1
1106,1,0,0,1.0,27,8,0,27,28137,1.493881,0.401452,1.895333,0.153257,0.759725,200,1
1107,2,1,1,0.1,80,8,0,80,28217,1.649229,0.42252,2.071749,0.153257,0.65691,200,1
1108,2,0,0,1.0,18,7,0,18,28235,1.466591,0.362067,1.828658,0.153257,0.598548,200,1
1109,2,0,0,1.0,18,7,0,18,28253,1.490961,0.315148,1.806109,0.153257,0.668063,200,1
1110,2,0,0,1.0,22,8,0,22,28275,1.578315,0.394166,1.972482,0.153257,0.648013,200,1
1111,1,0,0,1.0,15,7,0,15,28290,1.613395,0.368341,1.981736,0.153257,0.649246,200,1
1112,1,0,0,1.0,21,7,0,21,28311,1.676742,0.43804,2.114782,0.153257,0.649916,200,1
1113,1,0,0,1.0,23,8,0,23,28334,1.251325,0.282329,1.533654,0.153257,0.707013,200,1
1114,2,0,0,1.0,14,8,0,14,28348,1.49005,0.344151,1.834201,0.153257,0.568557,200,1
1115,2,0,0,1.0,20,8,0,20,28368,1.537619,0.397687,1.935306,0.153257,0.711809,200,1
1116,1,0,0,1.0,21,7,0,21,28389,1.510321,0.406621,1.916942,0.153257,0.67241,200,1
1117,1,0,0,1.0,19,8,0,19,28408,1.520231,0.463791,1.984022,0.153257,0.682888,200,1
1118,2,0,0,1.0,22,8,0,22,28430,1.533793,0.436477,1.970269,0.153257,0.597076,200,1
1119,1,0,0,1.0,17,6,0,17,28447,1.41776,0.394592,1.812352,0.153257,0.579072,200,1
1120,,1,0,0.1,80,8,0,80,28527,1.553843,0.476161,2.030004,0.153257,0.8625,200,1
1121,2,0,0,1.0,18,8,0,18,28545,1.612867,0.34764,1.960507,0.153257,0.656337,200,1
1122,1,0,0,1.0,17,7,0,17,28562,1.693298,0.480027,2.173325,0.153257,0.519066,200,1
1123,1,0,0,1.0,23,8,0,23,28585,1.520761,0.450533,1.971295,0.153257,0.666812,200,1
1124,1,0,0,1.0,27,8,0,27,28612,1.479132,0.448753,1.927885,0.153257,0.6555,200,1
1125,2,0,0,1.0,18,7,0,18,28630,1.492069,0.324106,1.816175,0.153257,0.626745,200,1
1126,1,1,1,0.1,80,8,0,80,28710,1.596258,0.374272,1.97053,0.153257,0.777073,200,1
1127,2,0,0,1.0,26,7,0,26,28736,1.566501,0.344083,1.910583,0.153257,0.719946,200,1
1128,2,0,0,1.0,22,7,0,22,28758,1.358332,0.377741,1.736072,0.153257,0.639333,200,1
1129,2,0,0,1.0,18,8,0,18,28776,1.42337,0.379961,1.803331,0.153257,0.693188,200,1
1130,2,0,0,1.0,22,8,0,22,28798,1.560079,0.410536,1.970615,0.153257,0.554591,200,1
1131,1,0,0,1.0,29,7,0,29,28827,1.482892,0.417613,1.900505,0.153257,0.660024,200,1
1132,2,0,0,1.0,18,8,0,18,28845,1.436395,0.2879,1.724295,0.153257,0.644612,200,1
1133,2,0,0,1.0,22,8,0,22,28867,1.607546,0.417972,2.025518,0.153257,0.675879,200,1
1134,1,0,0,1.0,15,8,0,15,28882,1.449544,0.348692,1.798236,0.153257,0.637521,200,1
1135,1,0,0,1.0,11,6,0,11,28893,1.58782,0.304207,1.892027,0.153257,0.526268,200,1
1136,1,0,0,1.0,17,8,0,17,28910,1.515192,0.368187,1.883379,0.153257,0.606267,200,1
1137,1,0,0,1.0,11,6,0,11,28921,1.423879,0.35484,1.778719,0.153257,0.41069,200,1
1138,2,0,0,1.0,24,8,0,24,28945,1.462731,0.445583,1.908314,0.153257,0.66876,200,1
1139,1,0,0,1.0,27,8,0,27,28972,1.395392,0.435967,1.83136,0.153257,0.673181,200,1
1140,2,0,0,1.0,20,8,0,20,28992,1.701577,0.442737,2.144314,0.153257,0.69598,200,1
1141,2,0,0,1.0,30,8,0,30,29022,1.484154,0.404694,1.888847,0.153257,0.68325,200,1
1142,1,0,0,1.0,23,8,0,23,29045,1.61159,0.43456,2.04615,0.153257,0.585536,200,1
1143,1,0,0,1.0,9,2,0,9,29054,1.539903,0.354043,1.893947,0.153257,0.58794,200,1
1144,2,0,0,1.0,28,8,0,28,29082,1.344132,0.395647,1.739779,0.153257,0.634781,200,1
1145,2,0,0,1.0,46,8,0,46,29128,1.483659,0.414482,1.898141,0.153257,0.773323,200,1
1146,2,0,0,1.0,16,5,0,16,29144,1.723471,0.399845,2.123316,0.153257,0.569724,200,1
1147,1,0,0,1.0,19,8,0,19,29163,1.385054,0.313812,1.698866,0.153257,0.655911,200,1
